Código,Ação,Tipo,Qtde. Teórica,Part. (%),Date
ABEV3,AMBEV S/A,ON ED,4.394.835.131,"2,867",2025-03-17
ASAI3,ASSAI,ON NM,1.345.832.968,"0,491",2025-03-17
AURE3,AUREN,ON NM,323.738.747,"0,119",2025-03-17
AMOB3,AUTOMOB,ON NM,533.959.816,"0,007",2025-03-17
AZUL4,AZUL,PN N2,326.872.005,"0,059",2025-03-17
AZZA3,AZZAS 2154,ON NM,136.643.320,"0,142",2025-03-17
B3SA3,B3,ON NM,5.392.540.963,"3,351",2025-03-17
BBSE3,BBSEGURIDADE,ON NM,637.332.335,"1,225",2025-03-17
BBDC3,BRADESCO,ON EJ N1,1.484.426.957,"0,795",2025-03-17
BBDC4,BRADESCO,PN EJ N1,5.129.958.973,"3,004",2025-03-17
BRAP4,BRADESPAR,PN N1,250.969.312,"0,212",2025-03-17
BBAS3,BRASIL,ON EX NM,2.842.613.858,"3,826",2025-03-17
BRKM5,BRASKEM,PNA N1,265.388.400,"0,142",2025-03-17
BRAV3,BRAVA,ON NM,460.791.208,"0,394",2025-03-17
BRFS3,BRF SA,ON NM,814.523.002,"0,712",2025-03-17
BPAC11,BTGP BANCO,UNT N2,1.287.247.964,"2,109",2025-03-17
CXSE3,CAIXA SEGURI,ON NM,517.500.000,"0,396",2025-03-17
CRFB3,CARREFOUR BR,ON NM,532.664.283,"0,192",2025-03-17
CCRO3,CCR SA,ON NM,991.920.937,"0,560",2025-03-17
COGN3,COGNA ON,ON NM,1.872.454.628,"0,158",2025-03-17
CPLE6,COPEL,PNB N2,1.679.233.590,"0,837",2025-03-17
CSAN3,COSAN,ON NM,1.150.987.430,"0,415",2025-03-17
CPFE3,CPFL ENERGIA,ON NM,187.732.538,"0,339",2025-03-17
CMIN3,CSNMINERACAO,ON N2,1.646.519.336,"0,489",2025-03-17
CVCB3,CVC BRASIL,ON NM,525.591.097,"0,051",2025-03-17
CYRE3,CYRELA REALT,ON NM,273.755.006,"0,304",2025-03-17
ELET3,ELETROBRAS,ON N1,1.977.170.723,"3,855",2025-03-17
ELET6,ELETROBRAS,PNB N1,268.875.696,"0,569",2025-03-17
EMBR3,EMBRAER,ON NM,734.631.801,"2,656",2025-03-17
ENGI11,ENERGISA,UNT N2,326.175.300,"0,645",2025-03-17
ENEV3,ENEVA,ON NM,1.929.556.616,"1,173",2025-03-17
EGIE3,ENGIE BRASIL,ON NM,255.236.938,"0,465",2025-03-17
EQTL3,EQUATORIAL,ON NM,1.253.541.010,"1,950",2025-03-17
FLRY3,FLEURY,ON ED NM,455.988.366,"0,254",2025-03-17
GGBR4,GERDAU,PN ED N1,1.242.683.687,"1,015",2025-03-17
GOAU4,GERDAU MET,PN ED N1,649.238.303,"0,293",2025-03-17
NTCO3,GRUPO NATURA,ON NM,850.935.197,"0,390",2025-03-17
HAPV3,HAPVIDA,ON NM,4.779.395.040,"0,503",2025-03-17
IGTI11,IGUATEMI S.A,UNT N1,211.783.588,"0,192",2025-03-17
IRBR3,IRBBRASIL RE,ON NM,81.838.243,"0,192",2025-03-17
ISAE4,ISA ENERGIA,PN EJ N1,395.801.044,"0,437",2025-03-17
ITSA4,ITAUSA,PN N1,5.857.796.242,"2,619",2025-03-17
ITUB4,ITAUUNIBANCO,PN N1,4.792.902.422,"7,939",2025-03-17
JBSS3,JBS,ON NM,1.145.962.972,"1,839",2025-03-17
KLBN11,KLABIN S/A,UNT ED N2,765.785.673,"0,724",2025-03-17
RENT3,LOCALIZA,ON NM,965.986.531,"1,532",2025-03-17
LREN3,LOJAS RENNER,ON NM,1.051.120.777,"0,611",2025-03-17
LWSA3,LWSA,ON NM,389.635.155,"0,050",2025-03-17
MGLU3,MAGAZ LUIZA,ON NM,353.448.195,"0,164",2025-03-17
POMO4,MARCOPOLO,PN N2,666.378.439,"0,229",2025-03-17
MRFG3,MARFRIG,ON NM,302.019.876,"0,223",2025-03-17
BEEF3,MINERVA,ON NM,261.359.935,"0,068",2025-03-17
MRVE3,MRV,ON NM,377.241.484,"0,091",2025-03-17
MULT3,MULTIPLAN,ON N2,314.150.156,"0,347",2025-03-17
PCAR3,P.ACUCAR-CBD,ON NM,462.534.972,"0,054",2025-03-17
PETR3,PETROBRAS,ON N2,2.255.782.178,"4,183",2025-03-17
PETR4,PETROBRAS,PN ATZ N2,4.431.132.660,"7,595",2025-03-17
PRIO3,PETRORIO,ON NM,779.999.989,"1,482",2025-03-17
PETZ3,PETZ,ON NM,293.689.428,"0,066",2025-03-17
PSSA3,PORTO SEGURO,ON NM,182.560.698,"0,343",2025-03-17
RADL3,RAIADROGASIL,ON NM,1.286.616.979,"1,191",2025-03-17
RAIZ4,RAIZEN,PN N2,1.198.936.529,"0,103",2025-03-17
RDOR3,REDE D OR,ON NM,1.145.289.019,"1,567",2025-03-17
RAIL3,RUMO S.A.,ON NM,1.216.914.397,"1,058",2025-03-17
SBSP3,SABESP,ON NM,683.508.568,"3,277",2025-03-17
SANB11,SANTANDER BR,UNT,356.586.730,"0,452",2025-03-17
STBP3,SANTOS BRP,ON ED NM,855.712.622,"0,551",2025-03-17
SMTO3,SAO MARTINHO,ON NM,128.130.966,"0,137",2025-03-17
CSNA3,SID NACIONAL,ON,727.459.637,"0,359",2025-03-17
SLCE3,SLC AGRICOLA,ON NM,194.261.422,"0,175",2025-03-17
SUZB3,SUZANO S.A.,ON NM,630.821.784,"1,649",2025-03-17
TAEE11,TAESA,UNT N2,218.568.234,"0,360",2025-03-17
VIVT3,TELEF BRASIL,ON,382.442.128,"0,945",2025-03-17
TIMS3,TIM,ON NM,807.495.418,"0,675",2025-03-17
TOTS3,TOTVS,ON NM,540.206.440,"0,873",2025-03-17
UGPA3,ULTRAPAR,ON ED NM,1.090.134.379,"0,901",2025-03-17
VALE3,VALE,ON ED NM,4.270.903.023,"11,607",2025-03-17
VAMO3,VAMOS,ON NM,485.166.826,"0,093",2025-03-17
VBBR3,VIBRA,ON NM,1.023.538.460,"0,866",2025-03-17
VIVA3,VIVARA S.A.,ON NM,125.446.075,"0,108",2025-03-17
WEGE3,WEG,ON NM,1.243.177.587,"2,805",2025-03-17
YDUQ3,YDUQS PART,ON ATZ NM,277.677.050,"0,153",2025-03-17
Quantidade Teórica Total,98.454.079.581,"100,000",,,2025-03-17
Redutor,"16.061.386,34034983",,,,2025-03-17
